"","subject_race","search_conducted","contraband_found","outcome","arrest_made","use_of_force_description"
"1","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2","black","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"3","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"4","black","TRUE","FALSE",NA,"FALSE",NA
"5","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"6","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"7","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"8","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"9","white","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"10","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"11","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12","white","FALSE",NA,"citation","FALSE","sat in police vehicle"
"13","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"14","asian/pacific islander",NA,NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"15","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"16","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"17","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"18","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"19","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"20","hispanic","TRUE","TRUE","citation","FALSE","handcuffed"
"21","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"22","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"23","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"24","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"25","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"26","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"27","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"28","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"29","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"30","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"31","hispanic","TRUE","TRUE",NA,"FALSE",NA
"32","white","TRUE","FALSE",NA,"FALSE","handcuffed"
"33","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"34","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"35","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"36","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"37","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"38","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"39","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"40","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"41","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"42","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"43","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"44","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"45","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"46","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
